step,b0,b1,b2
0,,10.964218139648438,
100,4.161757143410679,7.638452895209781,8.318275517948752
200,2.7578787651317795,5.800339375230005,6.997543478420559
300,3.0350191562404976,4.8931329211289905,6.003990292363176
400,2.9856457235550664,3.813013795405605,4.890732168623097
500,2.4570546492704923,3.050496058377303,3.8881285912685253
600,2.027827595175385,2.422970039241491,2.8171089887579344
700,1.8323936478562823,1.8333121868467912,2.059101269251628
800,1.485960639711362,1.4105547744503923,1.6613033884339836
900,1.2656104219495141,1.1893430534378915,1.2913248236279806
1000,1.0908051339261018,0.9931680411656832,1.0642793383287612
1100,0.9598890915400542,0.8159432971731755,0.8486058361230898
1200,0.8716985861681464,0.7113964218644754,0.7018782009973855
1300,0.7760588792775165,0.6197047783393475,0.6225602983094014
1400,0.7081099704886118,0.5630261144243338,0.5371309640589721
1500,0.6418434537062657,0.49251000740589596,0.4897826452629527
1600,0.6290357267660257,0.44317827493221224,0.4517388589568164
1700,0.6070822270096742,0.40375141167083856,0.3983791311565407
1800,0.5356208292756108,0.3766489648089403,0.3701618902256673
1900,0.5591719867970211,0.3495140455632833,0.33943429206291287
2000,0.4945146076081485,0.3297485828208856,0.32036114889315787
2100,0.4433345568558524,0.31623782710356463,0.3053400507590257
2200,0.4303357516070045,0.2884027172652684,0.2999360144018905
2300,0.4575825968166691,0.28365180148802976,0.27779658031471705
2400,0.4124259292037118,0.27393656894855223,0.2593183807580307
2500,0.46885672205454415,0.2644199424368341,0.24512402526933297
2600,0.4384090655987431,0.2566959054168663,0.23596756408171116
2700,0.40606738509923707,0.24497996815184675,0.21882354337239593
2800,0.43852115223096017,0.23378299189815005,0.21129711744331936
2900,0.40989536528414616,0.23015773520660418,0.20345668446037177
3000,0.37707043444464694,0.2198666018511988,0.19758370916080642
3100,0.3888629367927175,0.21361131496348426,0.19615672855038588
3200,0.4233373623544505,0.20697278268554778,0.19190079267127252
3300,0.38421499900926337,0.2028790713146474,0.18288544939097867
3400,0.3752641750834257,0.19806714729716363,0.1819966772480874
3500,0.42277093009706096,0.1877677176772689,0.17071501246616472
3600,0.4308496621202846,0.18010322253501057,0.16729340813175775
3700,0.37512286315956966,0.18046636742484196,0.16516989043451327
3800,0.398988615944552,0.1761688804096696,0.16007103602367645
3900,0.4024144943253948,0.1684431933297483,0.1610049263853192
4000,0.3447144522820699,0.17067880673983923,0.1514327205370146
4100,0.35606519478496984,0.16490111358532297,0.15081696971948888
4200,0.34114245453762587,0.16332881690735435,0.14475908194161669
4300,0.3387782589295035,0.1590660601536789,0.14047042775440527
4400,0.30556591790278,0.1562793050655896,0.14739108781897034
4500,0.32640493073503835,0.1934516390432441,0.1368199718483795
4600,0.3249429973332171,0.17255383605758157,0.13641103760312986
4700,0.3618515784103336,0.15757889557599672,0.1322688683945748
4800,0.27507713616036866,0.14759539864137045,0.1286880019909362
4900,0.2923719642831326,0.14324728623071614,0.1253574898221974
5000,0.27154974417582844,0.14288251756370168,0.12087765351320677
5100,0.3491944020001299,0.1425105109522183,0.12198149648360818
5200,0.26861143680292904,0.13496798179542388,0.12092589308507815
5300,0.31291467054319205,0.13779340125104259,0.12109550792258994
5400,0.3152051055416371,0.13699705734089018,0.11312067278629175
5500,0.2843113969020938,0.13771809596012669,0.11028971576570025
5600,0.29543099258727595,0.13259102135907697,0.10955857921542199
5700,0.3054845881813355,0.1297302335153373,0.106608028280728
5800,0.3017810690193106,0.12565164056635225,0.10619591226680115
5900,0.30801429297269717,0.12583353805268668,0.10655784813834103
6000,0.2933400599064351,0.12218661526188805,0.10571770913115598
6100,0.25018824707178366,0.12178725820861712,0.10225787035695574
6200,0.22476057538190308,0.11778104986269003,0.10297368860724544
6300,0.27795498792906187,0.11299592083778956,0.10112569245784561
6400,0.2240860249287424,0.11766338231812797,0.09690689509007397
6500,0.22077140083339591,0.11721945521740033,0.0981077103688899
6600,0.24225795052836738,0.1184044054831374,0.09526696296100931
6700,0.2523695281709638,0.11633217042560845,0.09378697208120146
6800,0.23350466365201744,0.10992992595954595,0.09114635251672672
6900,0.2203851517501754,0.10815833691543035,0.09052993171190128
7000,0.24064892385928233,0.1099504267471296,0.09359508577511409
7100,0.25759670052305855,0.11124409820383661,0.09034567667470515
7200,0.2799955212263171,0.1067524112819649,0.08718721615170909
7300,0.23928949201240385,0.10495404271341224,0.08689675814123406
7400,0.2065462239795443,0.10348063278080091,0.08602428782131233
7500,0.19449282610251356,0.09987959853847761,0.08343460307629631
7600,0.20001261531916606,0.09940942224398525,0.08396561788088554
7700,0.22693396466687335,0.10318706205944701,0.08681584447590829
7800,0.2291801334913739,0.10183403056222556,0.08436354291432156
7900,0.2139485238758362,0.09987626022626706,0.08092703637720403
8000,0.2099062968041626,0.09925047157618545,0.08126618901591778
8100,0.2514514203163897,0.09586087015354416,0.08011016212401999
8200,0.20951723511270973,0.10203144756789741,0.07939790148610018
8300,0.20888949143017388,0.09201655450015635,0.07856020515488617
8400,0.16956700984731785,0.09485351381551527,0.07734920537792238
8500,0.19415731122916102,0.09627155984942407,0.0777895711220416
8600,0.19819020572439264,0.09414697154039389,0.07681928572274753
8700,0.1914855841509933,0.09240308417867298,0.07636660395862822
8800,0.19357401167968571,0.09679445364408194,0.07721149828273186
8900,0.24419591208151353,0.08990834742776019,0.07455561404849617
9000,0.17144574703419513,0.08842971259913086,0.0768912215241679
9100,0.15300786774739547,0.08975113027592184,0.07123910969223424
9200,0.2006812091497985,0.09232006187349713,0.07050978006097763
