step,b0,b1,b2
0,nan,5.635863780975342,nan
100,1.3942033154619304,3.0531924422368677,3.8046672012259366
200,0.7860100464023624,1.9058870483764137,3.4212496605795475
300,0.57972712375798,1.622236203030241,3.4475180688203237
400,0.4890018283089395,1.1670451841966443,3.087953447405796
500,0.42761511174173256,1.2798206653190902,3.001504685055959
600,0.41708409245607153,1.2819503596685597,2.794054895796203
700,0.35922727318969516,1.2494278843728357,2.3485975774486008
800,0.36385078087779005,1.010138017516725,2.52443995978851
900,0.3348770089940713,1.1522027115851117,2.456198083075265
1000,0.337437238253939,1.0948245965872234,2.5722546662275327
1100,0.37546599009009046,0.9525720173919274,2.342901229391838
1200,0.3682213399457498,1.0375165974635734,2.1020049230989337
1300,0.35089162066524926,0.9350250543519391,2.0745269735232243
1400,0.36312156388940897,0.9935916634977251,2.0832100386619428
1500,0.35846020987573934,0.9358852635685164,2.0312714617748897
1600,0.37803519886179765,0.8664435205097971,2.207477443127777
1700,0.3917611869722452,0.9571092502458796,2.2276462734061035
1800,0.32409922072276637,0.949572721553146,2.0990853831488976
1900,0.38100383849914543,0.9960539866081843,2.173732430752185
2000,0.33775878300329903,1.098288268724918,1.9497814799863509
2100,0.2545389506921655,0.9220261283952798,2.049560188226058
2200,0.2755897063809431,1.0226360419409115,2.0119713243760273
2300,0.3472080668986941,0.850198168835633,2.050399470357073
2400,0.30287090297491603,0.681281231338288,2.0141621567315195
2500,0.38869896872922266,0.7781561707012231,1.9014098877339376
2600,0.3378570915247698,0.8036906134303384,1.8145469314725813
2700,0.3051117017278024,0.8529552059744525,1.7725089790884403
2800,0.3449151909394244,0.9553259658476346,1.9250049885332152
2900,0.319582460361112,0.8194588397441303,1.7913083042119478
3000,0.34486020951439567,0.9060408408685741,1.7480124177287513
3100,0.34957177346162416,0.7891172918332938,1.8706250756143994
3200,0.37315284856552355,0.8479095707078629,1.9921316367650876
3300,0.3333835452659782,0.6659458377959442,1.773620222343587
3400,0.3152563866972929,0.9874549683242113,1.8018534503823198
3500,0.36449710190114615,0.8270937441420704,1.7757686749465365
3600,0.3677344943605883,0.7487825934245799,1.8751592507355834
3700,0.3290858901270061,0.8082514543736657,1.8215241583907062
3800,0.3205769648869116,0.713238028479679,1.8524807795573677
